Date,gross_ret,turnover,costs,net_ret,cum_gross,cum_net
2021-12-01,-0.002171307427782432,0.0,0.0,-0.002171307427782432,1.0578911431374116,1.050561156013103
2021-12-02,0.0023826676558929556,0.2,0.0001,0.0022826676558929558,1.0604117461476208,1.0529592379844714
2021-12-03,0.001165783786544039,0.19999999999999998,9.999999999999999e-05,0.001065783786544039,1.0616479569683406,1.054081464868207
2021-12-06,0.0008682906653530108,0.0,0.0,0.0008682906653530108,1.0625697759792672,1.0549967139646736
2021-12-07,0.0022633527849425625,0.0,0.0,0.0022633527849425625,1.0649747462409256,1.0573845437153309
2021-12-08,0.0002612719571530864,0.0,0.0,0.0002612719571530864,1.0652529942771947,1.0576608086445307
2021-12-09,-9.79439659559711e-05,0.19999999999999998,9.999999999999999e-05,-0.0001979439659559711,1.0651486591741888,1.0574514510694315
2021-12-10,-0.005753763595244266,0.2,0.0001,-0.005853763595244266,1.059020045595509,1.051261380261423
2021-12-13,0.01228175687211469,0.0,0.0,0.01228175687211469,1.0720266723182088,1.0641727169428377
2021-12-14,0.004645674097885855,0.0,0.0,0.004645674097885855,1.0770069588620403,1.069116516569616
2021-12-15,-0.005064346497430483,0.0,0.0,-0.005064346497430483,1.0715526224422192,1.0637021400835815
2021-12-16,-0.0015580086136363636,0.0,0.0,-0.0015580086136363636,1.0698831342264894,1.0620448829869877
2021-12-17,0.0019457258440950254,0.0,0.0,0.0019457258440950254,1.0719648334909153,1.0641113311634045
2021-12-20,-0.0011946314452038198,0.2,0.0001,-0.0012946314452038199,1.0706842305926745,1.0627336991728826
2021-12-21,-0.00027386899053227776,0.19999999999999998,9.999999999999999e-05,-0.00037386899053227775,1.0703910033832633,1.0623363759975681
2021-12-22,-8.278903972858132e-05,0.0,0.0,-8.278903972858132e-05,1.070302386739959,1.0622484261891305
2021-12-23,-2.107423425341511e-05,0.0,0.0,-2.107423425341511e-05,1.0702798309367387,1.0622260401169616
2021-12-27,-0.00022633395206390623,0.0,0.0,-0.00022633395206390623,1.0700375902727886,1.0619856222993167
2021-12-28,-0.0004646322804794156,0.19999999999999998,9.999999999999999e-05,-0.0005646322804794155,1.0695404162670215,1.0613859909355614
2021-12-29,0.0005563350203690587,0.2,0.0001,0.0004563350203690587,1.070135439056291,1.0618703385333543
2021-12-30,0.0,0.09999999999999998,4.999999999999999e-05,-4.999999999999999e-05,1.070135439056291,1.0618172450164276
